year,country,arrivals,departures
2012,Romania,7937000,11149000
2012,Slovak Republic,1528000,2689000
2012,Slovenia,2156000,2474000
2012,Sweden,5146000,15548000
2012,Turkey,35698000,5803000
2012,Ukraine,23013000,21433000
2013,Albania,3256000,3928000
2013,Armenia,1084000,1083000
2013,Austria,24813000,10671000
2013,Belgium,7684000,10803000
2013,Bulgaria,6898000,3930000
2013,Belarus,137000,708000
2013,Switzerland,8967000,12403000
2013,Cyprus,2405000,1115000
2013,Czech Republic,7852000,5781000
2013,Germany,31545000,87459000
2013,Denmark,8557000,6977000
2013,Spain,60675000,11246000
2013,Estonia,2873000,1166000
2013,Finland,2797000,8562000
2013,France,83634000,26062000
2013,United Kingdom,31063000,57792000
2013,Georgia,5392000,3220000
2013,Greece,17920000,4594000
2013,Croatia,10948000,2927000
2013,Hungary,4388000,16038000
2013,Ireland,8260000,6579000
2013,Iceland,807300,365000
2013,Israel,2962000,4757000
2013,Italy,47704000,27798000
2013,Lithuania,2012000,1764000
2013,Luxembourg,945000,1624000
2013,Latvia,1536000,1776000
2013,Moldova,95600,157300
2013,Malta,1582000,363000
2013,Netherlands,12783000,18094000
2013,Norway,4778000,
2013,Poland,15800000,52580000
2013,Portugal,8097000,1329000
2013,Romania,8019000,11364000
2013,Slovak Republic,1670000,2129000
2013,Slovenia,2259000,2612000
2013,Sweden,5229000,15917000
2013,Turkey,37795000,7526000
2013,Ukraine,24671000,23761000
2014,Albania,3673000,4146000
2014,Armenia,1204000,1198000
2014,Austria,25291000,10994000
2014,Belgium,7887000,10991000
2014,Bulgaria,7311000,4158000
2014,Belarus,136800,741000
2014,Switzerland,9158000,12518000
2014,Cyprus,2441000,1209000
2014,Czech Republic,8096000,5651000
2014,Germany,32999000,83008000
2014,Denmark,10267000,8528000
2014,Spain,64939000,11783000
2014,Estonia,2918000,1426000
2014,Finland,2731000,8731000
2014,France,83701000,27919000
2014,United Kingdom,32613000,60082000
2014,Georgia,5516000,3106000
2014,Greece,22033000,5802000
2014,Croatia,11623000,2763000
2014,Hungary,4618000,16340000
2014,Ireland,8813000,6676000
2014,Iceland,997600,400000
2014,Israel,2927000,5181000
2014,Italy,48576000,28460000
2014,Lithuania,2063000,1789000
2014,Luxembourg,1038000,1815000
2014,Latvia,1843000,1846000
2014,Moldova,93900,179500
2014,Malta,1690000,391000
2014,Netherlands,13925000,17928000
2014,Norway,4855000,
2014,Poland,16000000,35400000
2014,Portugal,9092000,1460000
2014,Romania,8442000,12299000
2014,Slovak Republic,1475000,2406000
2014,Slovenia,2411000,2642000
2014,Sweden,5660000,
2014,Turkey,39811000,7982000
2014,Ukraine,12712000,22438000
2015,Albania,4131000,4504000
2015,Armenia,1192000,1187000
2015,Austria,26719000,10628000
2015,Belgium,8355000,10835000
2015,Bulgaria,7099000,4632000
2015,Belarus,102000,671000
2015,Switzerland,9305000,13601000
2015,Cyprus,2659000,1119000
2015,Czech Republic,8707000,5856000
